#pop1	pop2	loc1	loc2	ind1	ind2	ind3	ind4
O_sak	WK	Ktg	Gin	ktg-f1	ktg-m1	Gin-f1	Gin-m1
O_sak	WK	Kwb	Gin	kwb-f1	kwb-m1	Gin-f1	Gin-m1
O_sak	WK	Nig	Gin	Nig-f1	Nig-m1	Gin-f1	Gin-m1
O_sak	WK	Trg	Gin	Trg-f2	Trg-m1	Gin-f1	Gin-m1
O_sak	WK	Ktg	Izm	ktg-f1	ktg-m1	Izm-f3	Izm-m2
O_sak	WK	Kwb	Izm	kwb-f1	kwb-m1	Izm-f3	Izm-m2
O_sak	WK	Nig	Izm	Nig-f1	Nig-m1	Izm-f3	Izm-m2
O_sak	WK	Trg	Izm	Trg-f2	Trg-m1	Izm-f3	Izm-m2
O_sak	WK	Ktg	Hrd	ktg-f1	ktg-m1	Hid-Dmy	Hid-Gsdf
O_sak	WK	Kwb	Hrd	kwb-f1	kwb-m1	Hid-Dmy	Hid-Gsdf
O_sak	WK	Nig	Hrd	Nig-f1	Nig-m1	Hid-Dmy	Hid-Gsdf
O_sak	WK	Trg	Hrd	Trg-f2	Trg-m1	Hid-Dmy	Hid-Gsdf
O_sak	WK	Ktg	Nag	ktg-f1	ktg-m1	Nag-f1	Nag-m1
O_sak	WK	Kwb	Nag	kwb-f1	kwb-m1	Nag-f1	Nag-m1
O_sak	WK	Nig	Nag	Nig-f1	Nig-m1	Nag-f1	Nag-m1
O_sak	WK	Trg	Nag	Trg-f2	Trg-m1	Nag-f1	Nag-m1
WJ	WK	Ehm	Gin	ehm-f1	ehm-m1	Gin-f1	Gin-m1
WJ	WK	Myk	Gin	myk-f1	myk-m2	Gin-f1	Gin-m1
WJ	WK	Eky	Gin	eky-f1	eky-m1	Gin-f1	Gin-m1
WJ	WK	Nss	Gin	nss-f11	nss-m11	Gin-f1	Gin-m1
WJ	WK	Ehm	Izm	ehm-f1	ehm-m1	Izm-f3	Izm-m2
WJ	WK	Myk	Izm	myk-f1	myk-m2	Izm-f3	Izm-m2
WJ	WK	Eky	Izm	eky-f1	eky-m1	Izm-f3	Izm-m2
WJ	WK	Nss	Izm	nss-f11	nss-m11	Izm-f3	Izm-m2
WJ	WK	Ehm	Hrd	ehm-f1	ehm-m1	Hid-Dmy	Hid-Gsdf
WJ	WK	Myk	Hrd	myk-f1	myk-m2	Hid-Dmy	Hid-Gsdf
WJ	WK	Eky	Hrd	eky-f1	eky-m1	Hid-Dmy	Hid-Gsdf
WJ	WK	Nss	Hrd	nss-f11	nss-m11	Hid-Dmy	Hid-Gsdf
WJ	WK	Ehm	Nag	ehm-f1	ehm-m1	Nag-f1	Nag-m1
WJ	WK	Myk	Nag	myk-f1	myk-m2	Nag-f1	Nag-m1
WJ	WK	Eky	Nag	eky-f1	eky-m1	Nag-f1	Nag-m1
WJ	WK	Nss	Nag	nss-f11	nss-m11	Nag-f1	Nag-m1
EJ	WK	Ich	Gin	Ich-f1	Ich-m1	Gin-f1	Gin-m1
EJ	WK	Mry	Gin	mry-um1	mry-um2	Gin-f1	Gin-m1
EJ	WK	Csg	Gin	csg-m1	csg-m2	Gin-f1	Gin-m1
EJ	WK	Iso	Gin	iso-f1	iso-m1	Gin-f1	Gin-m1
EJ	WK	Ich	Izm	Ich-f1	Ich-m1	Izm-f3	Izm-m2
EJ	WK	Mry	Izm	mry-um1	mry-um2	Izm-f3	Izm-m2
EJ	WK	Csg	Izm	csg-m1	csg-m2	Izm-f3	Izm-m2
EJ	WK	Iso	Izm	iso-f1	iso-m1	Izm-f3	Izm-m2
EJ	WK	Ich	Hrd	Ich-f1	Ich-m1	Hid-Dmy	Hid-Gsdf
EJ	WK	Mry	Hrd	mry-um1	mry-um2	Hid-Dmy	Hid-Gsdf
EJ	WK	Csg	Hrd	csg-m1	csg-m2	Hid-Dmy	Hid-Gsdf
EJ	WK	Iso	Hrd	iso-f1	iso-m1	Hid-Dmy	Hid-Gsdf
EJ	WK	Ich	Nag	Ich-f1	Ich-m1	Nag-f1	Nag-m1
EJ	WK	Mry	Nag	mry-um1	mry-um2	Nag-f1	Nag-m1
EJ	WK	Csg	Nag	csg-m1	csg-m2	Nag-f1	Nag-m1
EJ	WK	Iso	Nag	iso-f1	iso-m1	Nag-f1	Nag-m1
EJ	WJ	Ich	Ehm	Ich-f1	Ich-m1	ehm-f1	ehm-m1
EJ	WJ	Mry	Ehm	mry-um1	mry-um2	ehm-f1	ehm-m1
EJ	WJ	Csg	Ehm	csg-m1	csg-m2	ehm-f1	ehm-m1
EJ	WJ	Iso	Ehm	iso-f1	iso-m1	ehm-f1	ehm-m1
EJ	WJ	Ich	Eky	Ich-f1	Ich-m1	eky-f1	eky-m1
EJ	WJ	Mry	Eky	mry-um1	mry-um2	eky-f1	eky-m1
EJ	WJ	Csg	Eky	csg-m1	csg-m2	eky-f1	eky-m1
EJ	WJ	Iso	Eky	iso-f1	iso-m1	eky-f1	eky-m1
