"chrom_HNI","gene_start_HNI","gene_end_HNI","ensemblGeneID_HNI","gene_symbol_hni","description_HNI","ensemblGeneID_HdrR","gene_start_HdrR","gene_end_HdrR","gene_symbol_HdrR","description_HdrR","popStat_phenotype_annotation"
1,4011799,4012468,"ENSORLG00020014525",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_3994631"
1,4000747,4009039,"ENSORLG00020014563",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_3994631"
1,3986324,4000320,"ENSORLG00020014608",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_3994631"
1,3979002,3979092,"ENSORLG00020014748",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_3994631"
1,6830038,6859217,"ENSORLG00020013034",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_6842581"
1,6988724,6997328,"ENSORLG00020012910",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_6973617"
1,6979960,6988704,"ENSORLG00020012935",NA,"description:STN1 subunit of CST complex [Source:NCBI gene;Acc:393360]","ENSORLG00000002353","7833073","7841654","stn1","gene_symbol:stn1 description:STN1 subunit of CST complex [Source:NCBI gene;Acc:101170250]","iHSoutlier_CP020779.1_6973617"
1,6958364,6979940,"ENSORLG00020012993",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_6973617"
1,7758544,7760839,"ENSORLG00020012006",NA,"description:orthodenticle homeobox 2a [Source:NCBI gene;Acc:30462]","ENSORLG00000030023","8579468","8646820","otx2a","gene_symbol:otx2a description:homeobox protein OTX1 B [Source:NCBI gene;Acc:101169019]","iHSoutlier_CP020779.1_7737104"
1,7934666,7934990,"ENSORLG00020011676",NA,"description:post-GPI attachment to proteins GalNAc transferase 4 [Source:ZFIN;Acc:ZDB-GENE-061013-692]","ENSORLG00000003053","8812458","8813639","pgap4","gene_symbol:pgap4 description:post-GPI attachment to proteins GalNAc transferase 4 [Source:NCBI gene;Acc:101174643]","iHSoutlier_CP020779.1_7909990"
1,7918230,7925525,"ENSORLG00020011688",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_7909990"
1,7906891,7915317,"ENSORLG00020011702",NA,"description:lectin; galactoside-binding-like a [Source:NCBI gene;Acc:723995]","ENSORLG00000003039","8786450","8792148","lgalsla","gene_symbol:lgalsla description:galectin-related protein [Source:NCBI gene;Acc:101169908]","iHSoutlier_CP020779.1_7909990"
1,7885943,7906871,"ENSORLG00020011730",NA,"","ENSORLG00000003028","8768832","8784302",NA,"description:equilibrative nucleoside transporter 2 [Source:NCBI gene;Acc:101174399]","iHSoutlier_CP020779.1_7909990"
1,16365897,16365898,"ENSORLG00020011762",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_7909990"
1,8588654,8637299,"ENSORLG00020010851",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_8613654"
1,8810733,8825002,"ENSORLG00020010595",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_8801852"
1,8803364,8809386,"ENSORLG00020010652","znf207","gene_symbol:znf207 description:zinc finger protein 207 [Source:NCBI gene;Acc:101157594]","ENSORLG00000003345","9706192","9712289","znf207b","gene_symbol:znf207b description:zinc finger protein 207 [Source:NCBI gene;Acc:101157594]","iHSoutlier_CP020779.1_8801852"
1,8776930,8784917,"ENSORLG00020010730",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_8801852"
1,10200539,10206070,"ENSORLG00020008748","chic2","gene_symbol:chic2 description:cysteine rich hydrophobic domain 2 [Source:NCBI gene;Acc:101159166]","ENSORLG00000004366","11117425","11121450","chic2","gene_symbol:chic2 description:cysteine rich hydrophobic domain 2 [Source:NCBI gene;Acc:101159166]","iHSoutlier_CP020779.1_10188236"
1,10198791,10199748,"ENSORLG00020008760",NA,"","ENSORLG00000025729","11113794","11115803",NA,"","iHSoutlier_CP020779.1_10188236"
1,10192952,10200294,"ENSORLG00020008778",NA,"description:OCIA domain containing 1 [Source:NCBI gene;Acc:393272]","ENSORLG00000004352","11108406","11113241",NA,"description:OCIA domain containing 1 [Source:NCBI gene;Acc:101158918]","iHSoutlier_CP020779.1_10188236"
1,10179997,10185763,"ENSORLG00020008790",NA,NA,NA,NA,NA,NA,NA,"iHSoutlier_CP020779.1_10188236"
