"Strain","reference","CHROM","cM","POS_pred"
"AFOM","HdrR_ASM223467v1",1,0,4112716.44452765
"AFOM","HdrR_ASM223467v1",1,1,4399577.50453291
"AFOM","HdrR_ASM223467v1",1,2,4686788.78682997
"AFOM","HdrR_ASM223467v1",1,3,4974730.68312249
"AFOM","HdrR_ASM223467v1",1,4,5264031.75948492
"AFOM","HdrR_ASM223467v1",1,5,5555506.8495394
"AFOM","HdrR_ASM223467v1",1,6,5849981.5638973
"AFOM","HdrR_ASM223467v1",1,7,6148286.1823079
"AFOM","HdrR_ASM223467v1",1,8,6451304.20990584
"AFOM","HdrR_ASM223467v1",1,9,6759979.12602507
"AFOM","HdrR_ASM223467v1",1,10,7075265.06146677
"AFOM","HdrR_ASM223467v1",1,11,7398116.1502902
"AFOM","HdrR_ASM223467v1",1,12,7729486.52655457
"AFOM","HdrR_ASM223467v1",1,13,8070328.71975459
"AFOM","HdrR_ASM223467v1",1,14,8421548.24215251
"AFOM","HdrR_ASM223467v1",1,15,8783996.88079599
"AFOM","HdrR_ASM223467v1",1,16,9158479.53005728
"AFOM","HdrR_ASM223467v1",1,17,9545710.53791142
"AFOM","HdrR_ASM223467v1",1,18,9946393.10091336
"AFOM","HdrR_ASM223467v1",1,19,10361229.1914147
"AFOM","HdrR_ASM223467v1",1,20,10790850.7971101
"AFOM","HdrR_ASM223467v1",1,21,11235726.170567
"AFOM","HdrR_ASM223467v1",1,22,11696198.2427022
"AFOM","HdrR_ASM223467v1",1,23,12172522.4995987
"AFOM","HdrR_ASM223467v1",1,24,12664601.7227022
"AFOM","HdrR_ASM223467v1",1,25,13172041.504851
"AFOM","HdrR_ASM223467v1",1,26,13694208.0861171
"AFOM","HdrR_ASM223467v1",1,27,14230257.2552344
"AFOM","HdrR_ASM223467v1",1,28,14779176.7947124
"AFOM","HdrR_ASM223467v1",1,29,15339922.3584716
"AFOM","HdrR_ASM223467v1",1,30,15911449.5900978
"AFOM","HdrR_ASM223467v1",1,31,16492714.0130852
"AFOM","HdrR_ASM223467v1",1,32,17082651.6018353
"AFOM","HdrR_ASM223467v1",1,33,17680157.3110403
"AFOM","HdrR_ASM223467v1",1,34,18284120.9264722
"AFOM","HdrR_ASM223467v1",1,35,18893431.7299266
"AFOM","HdrR_ASM223467v1",1,36,19506977.3969963
"AFOM","HdrR_ASM223467v1",1,37,20123658.1056258
"AFOM","HdrR_ASM223467v1",1,38,20742424.4301258
"AFOM","HdrR_ASM223467v1",1,39,21362318.4526821
"AFOM","HdrR_ASM223467v1",1,40,21982478.9334345
"AFOM","HdrR_ASM223467v1",1,41,22602069.0678473
"AFOM","HdrR_ASM223467v1",1,42,23220316.8909971
"AFOM","HdrR_ASM223467v1",1,43,23836566.214552
"AFOM","HdrR_ASM223467v1",1,44,24450253.3892761
"AFOM","HdrR_ASM223467v1",1,45,25060887.8344415
"AFOM","HdrR_ASM223467v1",1,46,25668080.9194753
"AFOM","HdrR_ASM223467v1",1,47,26271661.5022387
"AFOM","HdrR_ASM223467v1",1,48,26871561.8843578
"AFOM","HdrR_ASM223467v1",1,49,27467722.0198879
"AFOM","HdrR_ASM223467v1",1,50,28060081.9520768
"AFOM","HdrR_ASM223467v1",1,51,28648616.050088
"AFOM","HdrR_ASM223467v1",1,52,29233427.5803806
"AFOM","HdrR_ASM223467v1",1,53,29814704.2172095
"AFOM","HdrR_ASM223467v1",1,54,30392640.0190864
"AFOM","HdrR_ASM223467v1",1,55,30967429.0445232
"AFOM","HdrR_ASM223467v1",1,56,31539273.6964102
"AFOM","HdrR_ASM223467v1",1,57,32108419.7223899
"AFOM","HdrR_ASM223467v1",1,58,32675147.2394182
"AFOM","HdrR_ASM223467v1",1,59,33239752.6540186
"AFOM","HdrR_ASM223467v1",1,60,33802535.452084
"AFOM","HdrR_ASM223467v1",1,61,34363795.9212226
"AFOM","HdrR_ASM223467v1",1,62,34923834.3115854
"AFOM","HdrR_ASM223467v1",1,63,35482929.5434019
"AFOM","HdrR_ASM223467v1",1,64,36041303.6154297
"AFOM","HdrR_ASM223467v1",1,65,36599169.1337385
"AFOM","HdrR_ASM223467v1",1,66,37156738.7043982
"AFOM","HdrR_ASM223467v1",1,67,37714216.9694072
"OFAM","HdrR_ASM223467v1",1,0,1908526.04177298
"OFAM","HdrR_ASM223467v1",1,1,2227424.67156051
"OFAM","HdrR_ASM223467v1",1,2,2546816.85179659
"OFAM","HdrR_ASM223467v1",1,3,2867238.23208002
"OFAM","HdrR_ASM223467v1",1,4,3189570.32067324
"OFAM","HdrR_ASM223467v1",1,5,3514953.8079052
"OFAM","HdrR_ASM223467v1",1,6,3844544.3594136
"OFAM","HdrR_ASM223467v1",1,7,4179503.43822429
"OFAM","HdrR_ASM223467v1",1,8,4521057.69824838
"OFAM","HdrR_ASM223467v1",1,9,4870503.7958749
"OFAM","HdrR_ASM223467v1",1,10,5229150.22518595
"OFAM","HdrR_ASM223467v1",1,11,5598305.48387147
"OFAM","HdrR_ASM223467v1",1,12,5979278.06962135
"OFAM","HdrR_ASM223467v1",1,13,6373373.7866807
"OFAM","HdrR_ASM223467v1",1,14,6781819.51549982
"OFAM","HdrR_ASM223467v1",1,15,7205751.9679244
"OFAM","HdrR_ASM223467v1",1,16,7646231.44557476
"OFAM","HdrR_ASM223467v1",1,17,8104171.00011689
"OFAM","HdrR_ASM223467v1",1,18,8580465.54835825
"OFAM","HdrR_ASM223467v1",1,19,9076008.06461583
"OFAM","HdrR_ASM223467v1",1,20,9591580.47954356
"OFAM","HdrR_ASM223467v1",1,21,10127705.4167836
"OFAM","HdrR_ASM223467v1",1,22,10684707.6480753
"OFAM","HdrR_ASM223467v1",1,23,11262775.3207484
"OFAM","HdrR_ASM223467v1",1,24,11861547.2762
"OFAM","HdrR_ASM223467v1",1,25,12480201.6959248
"OFAM","HdrR_ASM223467v1",1,26,13117549.0514091
