block_id	seq_id	bin_id	start	end	seq_id2	bin_id2	start2	end2	strand	colour_block				
1	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	203	119476	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	179900	295423	+	CP020779.1	1			
3	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	134471	367933	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	332656	630010	+	CP020779.1	1			
4	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	369214	728171	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	843493	1208535	+	CP020779.1	1			
8	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	744583	1365077	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	1267683	1947034	+	CP020779.1	1			
9	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	1370101	1551669	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	2004361	2182491	+	CP020779.1	1			
11	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	1552437	2523299	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	2194447	3199189	+	CP020779.1	1			
14	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	2530107	3151557	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	3268660	3912525	+	CP020779.1	1			
16	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	3151611	3436715	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	3920672	4210214	+	CP020779.1	1			
17	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	3437774	4054812	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	4263652	4890875	+	CP020779.1	1			
19	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	4057231	6504243	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	4894918	7365341	+	CP020779.1	1			
21	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	6504511	14099144	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	7370927	14986344	+	CP020779.1	1			
23	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	14105171	15360289	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	15015852	16253030	+	CP020779.1	1			
25	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	15402952	15749846	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	16354867	16715225	+	CP020779.1	1			
27	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	15875776	16560590	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	16775822	17482041	+	CP020779.1	1			
30	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	16587195	20729015	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	17628345	21714911	+	CP020779.1	1			
32	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	20729070	22241288	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	21720254	23211769	+	CP020779.1	1			
34	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	22241798	22612305	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	23219167	23583166	+	CP020779.1	1			
35	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	22529154	24137131	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	23586199	25139286	+	CP020779.1	1			
37	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	24138105	24429337	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	25145486	25401661	+	CP020779.1	1			
39	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	24429682	24534555	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	25435293	25552982	+	CP020779.1	1		24534555	25552982
50	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	24581344	24719284	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	26263351	26413422	+	CP020779.1	1			25960000
51	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	24805640	24990797	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	26568040	26749384	+	CP020779.1	1		24581344	26263351
53	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	24990899	25464655	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	26755244	27205471	+	CP020779.1	1			
54	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	25516496	25848184	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	27206623	27526098	+	CP020779.1	1			
56	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	25848344	25992111	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	27531540	27677495	+	CP020779.1	1			
57	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	25993221	26420694	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	28055864	28499200	+	CP020779.1	1			
58	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	26618214	27650910	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	28502096	29548455	+	CP020779.1	1			
60	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	27657666	29301848	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	29588207	31231676	+	CP020779.1	1			
62	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	29303449	29453592	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	31233267	31389750	+	CP020779.1	1			
65	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	29504167	30118766	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	31600323	32270122	+	CP020779.1	1			
66	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	30119097	30275708	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	32328589	32504020	+	CP020779.1	1			
73	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	30505048	30804101	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	32699726	32963940	+	CP020779.1	1			
74	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	31030883	31490466	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	32967034	33441578	+	CP020779.1	1			
76	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	31490511	31980168	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	33445711	33990347	+	CP020779.1	1			
83	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	32105347	33966046	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	34536981	36555586	+	CP020779.1	1			
85	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	33968051	34229567	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	36560600	36854626	+	CP020779.1	1			
86	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	34249634	34399739	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	36958000	37114771	+	CP020779.1	1			
87	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	34409828	34602407	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	37196932	37459386	+	CP020779.1	1			
90	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	4723	365574	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	50492	433040	+	CP020780.1	2			
95	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	367542	943551	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	817274	1383165	+	CP020780.1	2			
101	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	1452472	1710520	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	1621219	1843716	+	CP020780.1	2			
103	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	1748566	2198028	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	1906967	2349056	+	CP020780.1	2			
105	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	2200317	3957555	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	2351463	4089005	+	CP020780.1	2			
108	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	3885760	4419193	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	4363402	4833259	+	CP020780.1	2			
118	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	4903093	5227855	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	5964198	6321571	+	CP020780.1	2			
124	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	5457605	5919331	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	6711564	7165898	+	CP020780.1	2			
125	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	5884458	6035588	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7240283	7373792	+	CP020780.1	2			
126	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	6037191	6343547	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7425950	7738165	+	CP020780.1	2			
128	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	6451871	6788993	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7832306	8190616	+	CP020780.1	2			
132	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7038366	7662997	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	8695847	9383442	+	CP020780.1	2			
134	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7703221	7925537	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	9399382	9707825	+	CP020780.1	2			
137	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7925603	8166164	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	9825002	10033155	+	CP020780.1	2			
138	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	8135042	8491732	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	10052290	10403340	+	CP020780.1	2			
140	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	8513305	9309033	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	10434600	11243305	+	CP020780.1	2			
141	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9370548	9683138	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	11243765	11593831	+	CP020780.1	2			
142	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9695241	9805088	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	11842297	12004034	+	CP020780.1	2			
143	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9824599	9947456	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	12122618	12270146	+	CP020780.1	2			
145	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9972916	12805286	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	12284273	15092878	+	CP020780.1	2			
146	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	13094331	13486541	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15092988	15477271	+	CP020780.1	2			
147	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	12810092	13090514	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15563041	15841130	-	CP020780.1	2			
148	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	13487614	14749737	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15847307	17166549	+	CP020780.1	2			
149	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	14773886	16268639	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	17291736	18824777	+	CP020780.1	2			
