pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
sak	CP020779.1	1	50000	0.0017264448309356	9891	53961	31255560	0
sak	CP020779.1	50001	100000	0.001396217704401	9761	43066	30844760	0
sak	CP020779.1	100001	150000	0.0015978527735535	9997	50477	31590520	0
sak	CP020779.1	150001	200000	0.001608673355882	3357	17065	10608120	0
sak	CP020779.1	200001	250000	0.0011731421184849	6228	23088	19680480	0
sak	CP020779.1	250001	300000	0.0014836386549354	11511	53967	36374760	0
sak	CP020779.1	300001	350000	0.0012226621825057	7618	29433	24072880	0
sak	CP020779.1	350001	400000	0.0011965367517635	6609	24989	20884440	0
sak	CP020779.1	400001	450000	0.0009882531534763	9139	28540	28879240	0
sak	CP020779.1	450001	500000	0.0008889289307326	7587	21312	23974920	0
sak	CP020779.1	500001	550000	0.0019043652551068	11633	70005	36760280	0
sak	CP020779.1	550001	600000	0.0034320513487682	9973	108160	31514680	0
sak	CP020779.1	600001	650000	0.0030784014845251	8022	78036	25349520	0
sak	CP020779.1	650001	700000	0.0023823395645144	11439	86115	36147240	0
sak	CP020779.1	700001	750000	0.0026615372952687	15529	130606	49071640	0
sak	CP020779.1	750001	800000	0.0013500077589837	11420	48718	36087200	0
sak	CP020779.1	800001	850000	0.0017515250792367	18036	99826	56993760	0
sak	CP020779.1	850001	900000	0.0012782571366255	10969	44307	34662040	0
sak	CP020779.1	900001	950000	0.0023225191729677	13843	101596	43743880	0
sak	CP020779.1	950001	1000000	0.0019698625033903	11621	72338	36722360	0
sak	CP020779.1	1000001	1050000	0.0015541673352276	10019	49205	31660040	0
sak	CP020779.1	1050001	1100000	0.0015289245597199	15789	76283	49893240	0
sak	CP020779.1	1100001	1150000	0.0018698547008963	12985	76725	41032600	0
sak	CP020779.1	1150001	1200000	0.00170259157163	16476	88644	52064160	0
sak	CP020779.1	1200001	1250000	0.0018143517930313	21819	125096	68948040	0
sak	CP020779.1	1250001	1300000	0.0020818287808127	19000	124993	60040000	0
sak	CP020779.1	1300001	1350000	0.0015279547422174	21449	103563	67778840	0
sak	CP020779.1	1350001	1400000	0.0038785879835977	4970	60914	15705200	0
sak	CP020779.1	1400001	1450000	0.0031363139788039	14611	144806	46170760	0
sak	CP020779.1	1450001	1500000	0.0086501577301023	20027	547428	63285320	0
sak	CP020779.1	1500001	1550000	0.0058790006145348	8507	158040	26882120	0
sak	CP020779.1	1550001	1600000	0.0047206624155325	13167	196416	41607720	0
sak	CP020779.1	1600001	1650000	0.0076372935144346	20486	494406	64735760	0
sak	CP020779.1	1650001	1700000	0.0031172890950546	20125	198244	63595000	0
sak	CP020779.1	1700001	1750000	0.0018421313437608	23118	134573	73052880	0
sak	CP020779.1	1750001	1800000	0.0019284271610895	20356	124046	64324960	0
sak	CP020779.1	1800001	1850000	0.0019886645735118	21416	134582	67674560	0
sak	CP020779.1	1850001	1900000	0.002259420491275	20584	146965	65045440	0
sak	CP020779.1	1900001	1950000	0.0016506171787425	17379	90648	54917640	0
sak	CP020779.1	1950001	2000000	0.0020936446666629	18056	119457	57056960	0
sak	CP020779.1	2000001	2050000	0.0019397950871036	20200	123821	63832000	0
sak	CP020779.1	2050001	2100000	0.0022125390989237	16236	113516	51305760	0
sak	CP020779.1	2100001	2150000	0.0010542381323295	16316	54355	51558560	0
sak	CP020779.1	2150001	2200000	0.0017144480023496	22497	121881	71090520	0
sak	CP020779.1	2200001	2250000	0.0016029692999137	18904	95756	59736640	0
sak	CP020779.1	2250001	2300000	0.0013871621733293	27572	120860	87127520	0
sak	CP020779.1	2300001	2350000	0.001530847383415	26944	130341	85143040	0
sak	CP020779.1	2350001	2400000	0.0018304902217562	17737	102597	56048920	0
sak	CP020779.1	2400001	2450000	0.0029190010956044	21536	198649	68053760	0
sak	CP020779.1	2450001	2500000	0.0047423005639023	22470	336728	71005200	0
sak	CP020779.1	2500001	2550000	0.0031602062788833	22403	223722	70793480	0
sak	CP020779.1	2550001	2600000	0.0020625244733505	22273	145166	70382680	0
sak	CP020779.1	2600001	2650000	0.002199208100381	22890	159074	72332400	0
sak	CP020779.1	2650001	2700000	0.0016812335197147	25894	137567	81825040	0
sak	CP020779.1	2700001	2750000	0.0016440954033056	22110	114869	69867600	0
sak	CP020779.1	2750001	2800000	0.0019640173856556	28372	176085	89655520	0
