chrom_HNI,gene_start_HNI,gene_end_HNI,ensemblGeneID_HNI,gene_symbol_hni,description_HNI,ensemblGeneID_HdrR,gene_start_HdrR,gene_end_HdrR,gene_symbol_HdrR,description_HdrR,popStat_phenotype_annotation
1,1467154,1467155,ENSORLG00020019927,NA,description:TAF5-like RNA polymerase II; p300/CBP-associated factor (PCAF)-associated factor [Source:ZFIN;Acc:ZDB-GENE-030131-5987],ENSORLG00000027732,2096595,2102685,taf5l,gene_symbol:taf5l description:TATA-box binding protein associated factor 5 like [Source:NCBI gene;Acc:101159161],iHSoutlier
1,1477744,1477745,ENSORLG00020019880,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
1,1578910,1578911,ENSORLG00020020165,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
1,1607180,1607181,ENSORLG00020019459,NA,description:armadillo repeat containing 3 [Source:ZFIN;Acc:ZDB-GENE-110614-1],ENSORLG00000000198,2219128,2227302,armc3,gene_symbol:armc3 description:armadillo repeat containing 3 [Source:NCBI gene;Acc:101162265],iHSoutlier
1,16716453,16716454,ENSORLG00020018285,NA,description:ELMO/CED-12 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060824-2],ENSORLG00000007321,17751240,17761689,elmod2,gene_symbol:elmod2 description:ELMO domain containing 2 [Source:NCBI gene;Acc:101172878],iHSoutlier
1,16752332,16752333,ENSORLG00020018177,NA,description:ring finger protein 150a [Source:ZFIN;Acc:ZDB-GENE-060213-1],ENSORLG00000027414,17792003,17803375,rnf150a,gene_symbol:rnf150a description:RING finger protein 150 [Source:NCBI gene;Acc:101170247],iHSoutlier
3,11144901,11144902,ENSORLG00020022428,NA,description:mothers against decapentaplegic homolog 3 [Source:NCBI gene;Acc:101169523],ENSORLG00000002207,12624206,12652748,NA,description:mothers against decapentaplegic homolog 3 [Source:NCBI gene;Acc:101169523],iHSoutlier
3,12659470,12659471,ENSORLG00020019864,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
3,22544945,22544946,ENSORLG00020004527,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
3,23425084,23425085,ENSORLG00020002954,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
4,19115294,19115295,ENSORLG00020004523,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
4,25865536,25865537,ENSORLG00020021607,NA,,ENSORLG00000027169,26567343,26571062,NA,description:centrosomal protein of 290 kDa [Source:NCBI gene;Acc:101155342],iHSoutlier
4,27596136,27596137,ENSORLG00020018293,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
5,2829415,2829416,ENSORLG00020007154,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
5,19457942,19457943,ENSORLG00020005758,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
5,28281374,28281375,ENSORLG00020014283,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
6,25179611,25179612,ENSORLG00020013174,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
7,16039681,16039682,ENSORLG00020001164,NA,description:dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989],ENSORLG00000009964,16225286,16268629,NA,description:dedicator of cytokinesis protein 3 [Source:NCBI gene;Acc:101165978],iHSoutlier
7,19855142,19855143,ENSORLG00020015121,NA,description:melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105],ENSORLG00000013461,20270738,20306675,mitfb,gene_symbol:mitfb description:microphthalmia-associated transcription factor [Source:NCBI gene;Acc:101165733],iHSoutlier
8,7773270,7773271,ENSORLG00020005169,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
8,8430433,8430434,ENSORLG00020002847,NA,,ENSORLG00000026987,8835506,8847424,NA,description:myosin heavy chain; fast skeletal muscle-like [Source:NCBI gene;Acc:111947749],iHSoutlier
8,16441646,16441647,ENSORLG00020010738,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
8,18661201,18661202,ENSORLG00020006328,NA,,ENSORLG00000027611,19990402,19994527,NA,description:GTPase IMAP family member 4 [Source:NCBI gene;Acc:101155604],iHSoutlier
8,19778203,19778204,ENSORLG00020004759,NA,description:SPC24 component of NDC80 kinetochore complex [Source:NCBI gene;Acc:554147],ENSORLG00000015391,21178813,21181954,spc24,gene_symbol:spc24 description:SPC24 component of NDC80 kinetochore complex [Source:NCBI gene;Acc:101162531],iHSoutlier
8,19914577,19914578,ENSORLG00020004611,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
8,20077521,20077522,ENSORLG00020004489,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
8,20085646,20085647,ENSORLG00020004395,NA,description:cysteine protease ATG4D [Source:NCBI gene;Acc:101163578],ENSORLG00000015500,21561406,21571209,atg4db,gene_symbol:atg4db description:cysteine protease ATG4D [Source:NCBI gene;Acc:101163578],iHSoutlier
8,20098041,20098042,ENSORLG00020004371,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
8,20116062,20116063,ENSORLG00020004346,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
9,4555046,4555047,ENSORLG00020008160,NA,description:si:dkey-84j12.1 [Source:ZFIN;Acc:ZDB-GENE-060526-342],ENSORLG00000001621,5120538,5180906,si,gene_symbol:si:dkey-84j12.1 description:transmembrane protein 8B [Source:NCBI gene;Acc:101171585],iHSoutlier
9,4595956,4595957,ENSORLG00020008112,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
9,11493679,11493680,ENSORLG00020017669,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
10,13617526,13617527,ENSORLG00020015083,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
11,13616361,13616362,ENSORLG00020010306,NA,description:transporter associated with antigen processing; subunit type a [Source:ZFIN;Acc:ZDB-GENE-030616-245],ENSORLG00000006618,15838238,15844604,abcb3,gene_symbol:abcb3 description:antigen peptide transporter 2-like [Source:NCBI gene;Acc:101166481],iHSoutlier
12,7008009,7008010,ENSORLG00020009168,NA,description:mitoguardin 2 [Source:NCBI gene;Acc:101158215],ENSORLG00000004102,7793310,7805465,miga2,gene_symbol:miga2 description:mitoguardin 2 [Source:NCBI gene;Acc:101158215],iHSoutlier
13,8486797,8486798,ENSORLG00020011624,NA,description:roundabout; axon guidance receptor; homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-000209-3],ENSORLG00000004126,9339775,9461925,robo1,gene_symbol:robo1 description:roundabout guidance receptor 1 [Source:NCBI gene;Acc:101157073],iHSoutlier
13,13767794,13767795,ENSORLG00020002588,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
13,22634461,22634462,ENSORLG00020012537,kcnab1,gene_symbol:kcnab1 description:potassium voltage-gated channel subfamily A member regulatory beta subunit 1 [Source:NCBI gene;Acc:101174282],ENSORLG00000012536,24646079,24729384,KCNAB1,gene_symbol:KCNAB1 description:potassium voltage-gated channel subfamily A member regulatory beta subunit 1 [Source:NCBI gene;Acc:101174282],iHSoutlier
14,7033158,7033159,ENSORLG00020017627,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
15,7836805,7836806,ENSORLG00020019963,NA,,ENSORLG00000029780,9118863,9132518,NA,description:B-cadherin-like [Source:NCBI gene;Acc:101171060],iHSoutlier
15,20784538,20784539,ENSORLG00020003768,NA,description:arachidonate 5-lipoxygenase a [Source:ZFIN;Acc:ZDB-GENE-090311-47],ENSORLG00000007461,22312081,22319261,alox5a,gene_symbol:alox5a description:arachidonate 5-lipoxygenase [Source:NCBI gene;Acc:101160835],iHSoutlier
16,5280777,5280778,ENSORLG00020022361,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
16,14930331,14930332,ENSORLG00020016744,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
16,14954567,14954568,ENSORLG00020016589,NA,description:si:dkey-83f18.8 [Source:ZFIN;Acc:ZDB-GENE-070705-507],ENSORLG00000006987,15725657,15728659,NA,description:uncharacterized LOC101154894 [Source:NCBI gene;Acc:101154894],iHSoutlier
17,4705024,4705025,ENSORLG00020002873,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
17,4705024,4705025,ENSORLG00020002920,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
17,10101426,10101427,ENSORLG00020000424,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
17,18357177,18357178,ENSORLG00020019393,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
17,19220194,19220195,ENSORLG00020018207,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
18,9523383,9523384,ENSORLG00020014737,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
18,12363140,12363141,ENSORLG00020011371,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
19,3896150,3896151,ENSORLG00020021056,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
19,6941505,6941506,ENSORLG00020015140,NA,NA,NA,NA,NA,NA,NA,iHSoutlier
