chrom_HNI,gene_start_HNI,gene_end_HNI,ensemblGeneID_HNI,gene_symbol_hni,description_HNI,ensemblGeneID_HdrR,gene_start_HdrR,gene_end_HdrR,gene_symbol_HdrR,description_HdrR,popStat_phenotype_annotation
1,16050448,16080202,ENSORLG00020000827,NA,description:endophilin-A1 [Source:NCBI gene;Acc:101155008],ENSORLG00000007131,16957480,16964480,sh3gl2a,gene_symbol:sh3gl2a description:endophilin-A1 [Source:NCBI gene;Acc:101155008],Sex
1,16095699,16095810,ENSORLG00020018825,NA,NA,NA,NA,NA,NA,NA,Sex
1,16489531,16490705,ENSORLG00020018579,NA,,ENSORLG00000026982,17418780,17421833,NA,description:snRNA-activating protein complex subunit 3 [Source:NCBI gene;Acc:110014056],Sex
1,16588906,16597133,ENSORLG00020001088,NA,NA,NA,NA,NA,NA,NA,Sex
1,16558086,16565919,ENSORLG00020018565,NA,,ENSORLG00000029140,17479219,17485210,NA,description:PC4 and SFRS1-interacting protein-like [Source:NCBI gene;Acc:105357989],Sex
1,16615699,16646237,ENSORLG00020018486,NA,NA,NA,NA,NA,NA,NA,Sex
1,18745346,18747967,ENSORLG00020015076,NA,NA,NA,NA,NA,NA,NA,Sex
1,18739649,18742750,ENSORLG00020015100,NA,description:mediator complex subunit 28 [Source:NCBI gene;Acc:493610],ENSORLG00000007946,19760602,19763765,med28,gene_symbol:med28 description:mediator complex subunit 28 [Source:NCBI gene;Acc:101160463],Sex
1,18730994,18738656,ENSORLG00020015111,NA,description:leucine aminopeptidase 3 [Source:ZFIN;Acc:ZDB-GENE-060719-1],ENSORLG00000007934,19751385,19760592,lap3,gene_symbol:lap3 description:leucine aminopeptidase 3 [Source:NCBI gene;Acc:101160217],Sex
1,18726869,18730934,ENSORLG00020015120,NA,description:clarin 2 [Source:ZFIN;Acc:ZDB-GENE-061207-64],ENSORLG00000007911,19746989,19751364,clrn2,gene_symbol:clrn2 description:clarin 2 [Source:NCBI gene;Acc:101159970],Sex
1,18713647,18723663,ENSORLG00020015154,NA,NA,NA,NA,NA,NA,NA,Sex
1,18712659,18712930,ENSORLG00020015282,NA,description:prominin 1 b [Source:ZFIN;Acc:ZDB-GENE-031003-1],ENSORLG00000007886,19701007,19732465,prom1b,gene_symbol:prom1b description:prominin-1-A [Source:NCBI gene;Acc:101156064],Sex
1,18950031,18961039,ENSORLG00020014355,NA,NA,NA,NA,NA,NA,NA,Sex
2,1815639,1837814,ENSORLG00020012898,NA,NA,NA,NA,NA,NA,NA,highSexFst
2,13342593,13346124,ENSORLG00020021191,NA,description:family with sequence similarity 117 member Ba [Source:ZFIN;Acc:ZDB-GENE-131127-569],ENSORLG00000003049,15338292,15341900,fam117ba,gene_symbol:fam117ba description:family with sequence similarity 117 member B [Source:NCBI gene;Acc:105355725],highSexFst
2,13327187,13329599,ENSORLG00020021247,NA,NA,NA,NA,NA,NA,NA,highSexFst
2,13304701,13343511,ENSORLG00020021294,NA,NA,NA,NA,NA,NA,NA,highSexFst
2,13300807,13300914,ENSORLG00020021312,NA,NA,NA,NA,NA,NA,NA,highSexFst
3,6291986,6294178,ENSORLG00020001627,NA,NA,NA,NA,NA,NA,NA,highSexFst
3,18298559,18299831,ENSORLG00020011438,NA,description:signal peptide; CUB domain and EGF like domain containing 2 [Source:NCBI gene;Acc:101161226],ENSORLG00000006978,19778881,19796865,scube2,gene_symbol:scube2 description:signal peptide; CUB domain and EGF like domain containing 2 [Source:NCBI gene;Acc:101161226],highSexFst
3,18292744,18297697,ENSORLG00020011452,tmem9b,gene_symbol:tmem9b description:TMEM9 domain family member B [Source:NCBI gene;Acc:101161473],ENSORLG00000006942,19772871,19778378,tmem9b,gene_symbol:tmem9b description:TMEM9 domain family member B [Source:NCBI gene;Acc:101161473],highSexFst
3,18255601,18288848,ENSORLG00020011501,NA,NA,NA,NA,NA,NA,NA,highSexFst
3,24454562,24475256,ENSORLG00020002219,NA,NA,NA,NA,NA,NA,NA,highSexFst
3,26648246,26650000,ENSORLG00020000963,NA,NA,NA,NA,NA,NA,NA,highSexFst
