chrom_HNI,gene_start_HNI,gene_end_HNI,ensemblGeneID_HNI,gene_symbol_hni,description_HNI,ensemblGeneID_HdrR,gene_start_HdrR,gene_end_HdrR,gene_symbol_HdrR,description_HdrR,popStat_phenotype_annotation
1,15591844,15597718,ENSORLG00020020335,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15570076,15578634,ENSORLG00020020363,NA,description:small nuclear RNA activating complex; polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040426-971],ENSORLG00000030074,16543452,16552007,snapc3,gene_symbol:snapc3 description:small nuclear RNA activating complex polypeptide 3 [Source:NCBI gene;Acc:101169165],_highTajimaD__
1,15568588,15578117,ENSORLG00020020378,NA,,ENSORLG00000030618,16541976,16551417,NA,description:lens epithelium-derived growth factor-like [Source:NCBI gene;Acc:101157666],_highTajimaD__
1,15564946,15567167,ENSORLG00020020387,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15556122,15561489,ENSORLG00020020393,NA,description:piggyBac transposable element-derived protein 2-like [Source:NCBI gene;Acc:111947160],ENSORLG00000023382,16529591,16534929,NA,description:piggyBac transposable element-derived protein 2-like [Source:NCBI gene;Acc:111947160],_highTajimaD__
1,15649234,15650000,ENSORLG00020020175,NA,description:superoxide dismutase 3; extracellular b [Source:ZFIN;Acc:ZDB-GENE-030131-8743],ENSORLG00000019434,16622450,16623713,sod3b,gene_symbol:sod3b description:superoxide dismutase 3 [Source:NCBI gene;Acc:101169658],_highTajimaD__
1,15647135,15650000,ENSORLG00020020217,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15638059,15646420,ENSORLG00020020246,NA,description:leucine-rich repeat LGI family; member 2b [Source:ZFIN;Acc:ZDB-GENE-060217-3],ENSORLG00000023177,16606956,16614085,lgi2b,gene_symbol:lgi2b description:leucine-rich repeat LGI family member 2 [Source:NCBI gene;Acc:101171883],_highTajimaD__
1,15626545,15630664,ENSORLG00020020253,NA,,ENSORLG00000019420,16593559,16597674,NA,description:uncharacterized LOC105357479 [Source:NCBI gene;Acc:105357479],_highTajimaD__
1,15603075,15615356,ENSORLG00020020282,NA,description:microsomal triglyceride transfer protein [Source:NCBI gene;Acc:406207],ENSORLG00000019412,16568818,16581072,mttp,gene_symbol:mttp description:microsomal triglyceride transfer protein [Source:NCBI gene;Acc:101169409],_highTajimaD__
1,15735519,15748566,ENSORLG00020019971,gucy1b1,gene_symbol:gucy1b1 description:guanylate cyclase 1 soluble subunit beta 1 [Source:NCBI gene;Acc:100049178],ENSORLG00000019522,16703766,16717976,gucy1b1,gene_symbol:gucy1b1 description:fatty acid binding protein 2 [Source:NCBI gene;Acc:101170642],_highTajimaD__
1,15728053,15732609,ENSORLG00020019989,NA,description:fatty acid binding protein 2; intestinal [Source:ZFIN;Acc:ZDB-GENE-991019-5],ENSORLG00000019522,16694106,16698929,gucy1b1,gene_symbol:gucy1b1 description:fatty acid binding protein 2 [Source:NCBI gene;Acc:101170642],_highTajimaD__
1,15710200,15728116,ENSORLG00020020021,NA,description:ubiquitin specific peptidase 53b [Source:ZFIN;Acc:ZDB-GENE-090312-168],ENSORLG00000028332,16677910,16710397,usp53b,gene_symbol:usp53b description:inactive ubiquitin carboxyl-terminal hydrolase 53 [Source:NCBI gene;Acc:101172628],_highTajimaD__
1,15705674,15707399,ENSORLG00020020033,NA,description:myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853],ENSORLG00000019473,16673447,16675110,myoz2b,gene_symbol:myoz2b description:myozenin-2 [Source:NCBI gene;Acc:101170393],_highTajimaD__
1,15700056,15700134,ENSORLG00020020105,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15788394,15791513,ENSORLG00020019803,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15779796,15785715,ENSORLG00020019813,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15756400,15779725,ENSORLG00020019855,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15753321,15767759,ENSORLG00020019917,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15831940,15838655,ENSORLG00020019779,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,15818197,15819018,ENSORLG00020019791,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
1,16050448,16080202,ENSORLG00020000827,NA,description:endophilin-A1 [Source:NCBI gene;Acc:101155008],ENSORLG00000007131,16957480,16964480,sh3gl2a,gene_symbol:sh3gl2a description:endophilin-A1 [Source:NCBI gene;Acc:101155008],_highSexFst
1,16588906,16615222,ENSORLG00020001088,NA,NA,NA,NA,NA,NA,NA,_highSexFst
1,16615699,16646237,ENSORLG00020018486,NA,NA,NA,NA,NA,NA,NA,_highSexFst
1,16525893,16565919,ENSORLG00020018565,NA,,ENSORLG00000029140,17479219,17485210,NA,description:PC4 and SFRS1-interacting protein-like [Source:NCBI gene;Acc:105357989],_highSexFst
1,16489531,16490705,ENSORLG00020018579,NA,,ENSORLG00000026982,17418780,17421833,NA,description:snRNA-activating protein complex subunit 3 [Source:NCBI gene;Acc:110014056],_highSexFst
1,16199098,16373069,ENSORLG00020018654,NA,NA,NA,NA,NA,NA,NA,_highSexFst
1,16145381,16149998,ENSORLG00020018682,NA,NA,NA,NA,NA,NA,NA,_highSexFst
1,16095699,16185757,ENSORLG00020018825,NA,NA,NA,NA,NA,NA,NA,_highSexFst
1,26005102,26049991,ENSORLG00020006440,NA,,ENSORLG00000023460,28065896,28078361,NA,,_highTajimaD__
1,30612189,30641689,ENSORLG00020020232,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,22001,27057,ENSORLG00020008066,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,6938541,6947532,ENSORLG00020001611,NA,description:solute carrier family 1 member 2a [Source:ZFIN;Acc:ZDB-GENE-100422-11],ENSORLG00000000964,8151768,8158453,slc1a2a,gene_symbol:slc1a2a description:excitatory amino acid transporter 2-like [Source:NCBI gene;Acc:101160301],_highTajimaD__
3,26757972,26763795,ENSORLG00020000859,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26794860,26794936,ENSORLG00020021516,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26787175,26789396,ENSORLG00020021549,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26782836,26785468,ENSORLG00020021570,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26780352,26781924,ENSORLG00020021578,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26768118,26778377,ENSORLG00020021583,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26752191,26755741,ENSORLG00020021595,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
3,26759559,26761672,ENSORLG00020021605,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
4,5136470,5150000,ENSORLG00020007426,NA,NA,NA,NA,NA,NA,NA,_highTajimaD__
